device_id,event_date,maintenance_type,event_order,days_since_previous_maintenance,days_to_next_maintenance
a5,2025-02-25,medium,6,35.0,49.0
a5,2025-04-15,medium,7,49.0,60.0
a5,2025-06-14,medium,8,60.0,66.0
a5,2025-08-19,medium,9,66.0,79.0
a5,2025-11-06,medium,10,79.0,63.0
a5,2026-01-08,medium,11,63.0,49.0
a5,2026-02-26,medium,12,49.0,36.0
a5,2026-04-03,medium,13,36.0,
a6,2024-06-06,medium,1,,82.0
a6,2024-08-27,medium,2,82.0,71.0
a6,2024-11-06,major,3,71.0,55.0
a6,2024-12-31,medium,4,55.0,50.0
a6,2025-02-19,major,5,50.0,51.0
a6,2025-04-11,medium,6,51.0,54.0
a6,2025-06-04,medium,7,54.0,80.0
a6,2025-08-23,medium,8,80.0,71.0
a6,2025-11-02,medium,9,71.0,62.0
a6,2026-01-03,medium,10,62.0,43.0
a6,2026-02-15,medium,11,43.0,38.0
a6,2026-03-25,medium,12,38.0,
a7,2024-05-18,medium,1,,47.0
a7,2024-07-04,medium,2,47.0,82.0
a7,2024-09-24,medium,3,82.0,59.0
a7,2024-11-22,medium,4,59.0,59.0
a7,2025-01-20,medium,5,59.0,35.0
a7,2025-02-24,medium,6,35.0,51.0
a7,2025-04-16,major,7,51.0,61.0
a7,2025-06-16,medium,8,61.0,77.0
a7,2025-09-01,medium,9,77.0,47.0
a7,2025-10-18,medium,10,47.0,65.0
a7,2025-12-22,medium,11,65.0,48.0
a7,2026-02-08,major,12,48.0,45.0
a7,2026-03-25,medium,13,45.0,
a8,2024-06-02,medium,1,,69.0
a8,2024-08-10,medium,2,69.0,82.0
a8,2024-10-31,medium,3,82.0,64.0
a8,2025-01-03,medium,4,64.0,41.0
a8,2025-02-13,medium,5,41.0,42.0
a8,2025-03-27,medium,6,42.0,47.0
a8,2025-05-13,medium,7,47.0,54.0
a8,2025-07-06,medium,8,54.0,64.0
a8,2025-09-08,medium,9,64.0,56.0
a8,2025-11-03,medium,10,56.0,55.0
a8,2025-12-28,medium,11,55.0,43.0
a8,2026-02-09,medium,12,43.0,50.0
a8,2026-03-31,medium,13,50.0,
a9,2024-05-30,medium,1,,64.0
a9,2024-08-02,medium,2,64.0,74.0
a9,2024-10-15,medium,3,74.0,61.0
a9,2024-12-15,medium,4,61.0,47.0
a9,2025-01-31,medium,5,47.0,47.0
a9,2025-03-19,medium,6,47.0,57.0
a9,2025-05-15,major,7,57.0,55.0
a9,2025-07-09,medium,8,55.0,65.0
a9,2025-09-12,medium,9,65.0,65.0
a9,2025-11-16,medium,10,65.0,54.0
a9,2026-01-09,medium,11,54.0,45.0
a9,2026-02-23,medium,12,45.0,37.0
a9,2026-04-01,major,13,37.0,
a10,2024-05-25,medium,1,,61.0
a10,2024-07-25,major,2,61.0,68.0
a10,2024-10-01,medium,3,68.0,50.0
a10,2024-11-20,medium,4,50.0,59.0
a10,2025-01-18,medium,5,59.0,37.0
a10,2025-02-24,medium,6,37.0,46.0
a10,2025-04-11,major,7,46.0,55.0
a10,2025-06-05,medium,8,55.0,75.0
a10,2025-08-19,medium,9,75.0,74.0
a10,2025-11-01,medium,10,74.0,61.0
a10,2026-01-01,major,11,61.0,43.0
a10,2026-02-13,medium,12,43.0,41.0
a10,2026-03-26,medium,13,41.0,
